datetime,open,high,low,close,volume
2026-05-05 00:00:00,84.11,84.21,84.04,84.05,20968.152
2026-05-05 00:30:00,84.06,84.38,84.06,84.33,30822.246
2026-05-05 01:00:00,84.33,84.41,84.14,84.34,27441.963
2026-05-05 01:30:00,84.35,84.47,84.2,84.41,22193.687
2026-05-05 02:00:00,84.41,84.68,84.34,84.54,30054.53
2026-05-05 02:30:00,84.54,84.8,84.42,84.51,40464.284
2026-05-05 03:00:00,84.51,84.75,84.41,84.71,30260.138
2026-05-05 03:30:00,84.7,84.97,84.66,84.78,55765.468
2026-05-05 04:00:00,84.77,84.9,84.6,84.69,78572.415
2026-05-05 04:30:00,84.69,84.88,84.59,84.78,23473.174
2026-05-05 05:00:00,84.78,85.01,84.72,84.94,47278.55
2026-05-05 05:30:00,84.94,85.12,84.85,84.92,120938.073
2026-05-05 06:00:00,84.93,84.98,84.58,84.63,29963.113
2026-05-05 06:30:00,84.62,85.0,84.54,84.98,68882.878
2026-05-05 07:00:00,84.99,85.03,84.78,84.93,53971.384
2026-05-05 07:30:00,84.94,85.06,84.86,84.87,42630.308
2026-05-05 08:00:00,84.88,84.91,84.73,84.79,22530.977
2026-05-05 08:30:00,84.8,84.85,84.69,84.78,22586.127
2026-05-05 09:00:00,84.79,84.8,84.51,84.58,37250.525
2026-05-05 09:30:00,84.57,84.66,84.45,84.53,32749.371
2026-05-05 10:00:00,84.54,84.82,84.43,84.79,32778.994
2026-05-05 10:30:00,84.79,84.93,84.76,84.9,25571.44
2026-05-05 11:00:00,84.9,84.93,84.7,84.85,32163.786
2026-05-05 11:30:00,84.86,85.01,84.81,84.97,29939.81
2026-05-05 12:00:00,84.97,85.26,84.9,85.22,39128.16
2026-05-05 12:30:00,85.22,85.35,85.14,85.31,53246.403
2026-05-05 13:00:00,85.31,86.1,85.31,85.7,246455.68
2026-05-05 13:30:00,85.69,85.97,85.4,85.63,106066.227
2026-05-05 14:00:00,85.63,85.75,85.19,85.58,87266.325
2026-05-05 14:30:00,85.58,85.7,85.19,85.48,34418.441
2026-05-05 15:00:00,85.47,85.88,85.35,85.69,59430.49
2026-05-05 15:30:00,85.7,85.78,85.47,85.5,37666.86
2026-05-05 16:00:00,85.5,85.7,85.36,85.47,48799.71
2026-05-05 16:30:00,85.46,85.46,85.0,85.31,73249.637
2026-05-05 17:00:00,85.32,85.53,85.12,85.41,16382.13
2026-05-05 17:30:00,85.4,85.49,85.31,85.45,11371.177
2026-05-05 18:00:00,85.46,85.82,85.43,85.71,31291.237
2026-05-05 18:30:00,85.7,85.88,85.58,85.87,48105.435
2026-05-05 19:00:00,85.87,86.37,85.8,86.25,74252.036
2026-05-05 19:30:00,86.24,86.56,86.18,86.49,113391.277
2026-05-05 20:00:00,86.49,86.76,86.42,86.6,79077.612
2026-05-05 20:30:00,86.61,86.9,86.57,86.64,46417.78
2026-05-05 21:00:00,86.65,86.93,86.44,86.58,75830.258
2026-05-05 21:30:00,86.58,86.72,86.26,86.72,43749.538
2026-05-05 22:00:00,86.71,86.98,86.56,86.81,50386.638
2026-05-05 22:30:00,86.8,86.82,86.2,86.58,81955.881
2026-05-05 23:00:00,86.57,86.67,86.3,86.32,23455.509
2026-05-05 23:30:00,86.31,86.44,86.17,86.29,38242.292
2026-05-06 00:00:00,86.29,86.5,86.1,86.15,56183.49
2026-05-06 00:30:00,86.15,86.55,86.12,86.38,48427.917
2026-05-06 01:00:00,86.38,86.88,86.31,86.76,43570.917
2026-05-06 01:30:00,86.77,87.0,86.75,86.86,31852.361
2026-05-06 02:00:00,86.86,86.89,86.57,86.57,40075.412
2026-05-06 02:30:00,86.58,86.93,86.39,86.88,30525.418
2026-05-06 03:00:00,86.89,87.45,86.88,87.21,109261.792
2026-05-06 03:30:00,87.22,87.51,87.2,87.33,98152.685
2026-05-06 04:00:00,87.34,87.43,87.04,87.04,44381.205
2026-05-06 04:30:00,87.05,87.06,86.67,86.81,52696.006
2026-05-06 05:00:00,86.8,87.06,86.75,87.03,31268.753
2026-05-06 05:30:00,87.03,87.46,86.91,87.41,108496.742
2026-05-06 06:00:00,87.4,87.54,87.17,87.25,53009.806
2026-05-06 06:30:00,87.26,87.54,87.17,87.49,44192.287
2026-05-06 07:00:00,87.49,87.89,87.46,87.76,56406.11
2026-05-06 07:30:00,87.75,87.84,87.59,87.7,38758.505
2026-05-06 08:00:00,87.71,87.99,87.64,87.87,75453.631
2026-05-06 08:30:00,87.88,89.22,87.87,89.02,252219.599
2026-05-06 09:00:00,89.02,89.07,88.59,88.81,131712.626
2026-05-06 09:30:00,88.82,89.54,88.78,89.48,183728.849
2026-05-06 10:00:00,89.48,89.69,89.21,89.52,128982.991
2026-05-06 10:30:00,89.52,89.69,89.36,89.38,71179.055
2026-05-06 11:00:00,89.38,90.03,89.31,89.6,107783.654
2026-05-06 11:30:00,89.59,89.87,89.47,89.87,75104.693
2026-05-06 12:00:00,89.87,89.97,89.5,89.63,99811.553
2026-05-06 12:30:00,89.64,89.9,89.55,89.66,70620.316
2026-05-06 13:00:00,89.66,89.66,88.37,88.51,223529.428
2026-05-06 13:30:00,88.51,88.81,88.07,88.33,144915.825
2026-05-06 14:00:00,88.33,88.47,87.47,88.18,216041.957
2026-05-06 14:30:00,88.18,88.85,88.18,88.4,61028.526
2026-05-06 15:00:00,88.4,88.97,88.3,88.76,67840.934
2026-05-06 15:30:00,88.76,89.06,88.55,88.97,56107.304
2026-05-06 16:00:00,88.97,89.2,88.64,88.71,63953.46
2026-05-06 16:30:00,88.72,89.51,88.59,89.18,68129.75
2026-05-06 17:00:00,89.18,89.44,88.9,89.03,51977.8
2026-05-06 17:30:00,89.02,89.08,88.53,88.83,55162.148
2026-05-06 18:00:00,88.83,88.96,88.5,88.86,33185.969
2026-05-06 18:30:00,88.85,89.15,88.6,88.99,35932.358
2026-05-06 19:00:00,88.98,89.27,88.92,89.08,27646.02
2026-05-06 19:30:00,89.09,89.32,88.9,89.27,29998.008
2026-05-06 20:00:00,89.27,89.62,89.22,89.41,28369.977
2026-05-06 20:30:00,89.42,89.47,88.92,89.19,41949.109
2026-05-06 21:00:00,89.19,89.43,89.07,89.41,49884.603
2026-05-06 21:30:00,89.42,89.6,89.3,89.47,36432.701
2026-05-06 22:00:00,89.48,89.57,89.06,89.07,30414.255
2026-05-06 22:30:00,89.07,89.25,89.01,89.07,19053.749
2026-05-06 23:00:00,89.07,89.17,88.65,89.15,36959.286
2026-05-06 23:30:00,89.15,89.18,89.0,89.16,20886.49
2026-05-07 00:00:00,89.16,89.27,88.65,88.66,33203.141
2026-05-07 00:30:00,88.66,88.7,88.21,88.32,71424.776
2026-05-07 01:00:00,88.32,88.42,87.9,88.39,56235.062
2026-05-07 01:30:00,88.4,88.53,88.08,88.31,32678.79
2026-05-07 02:00:00,88.31,88.37,87.86,87.93,34023.749
2026-05-07 02:30:00,87.93,88.2,87.8,88.15,34101.884
2026-05-07 03:00:00,88.14,88.15,87.63,87.89,44791.266
2026-05-07 03:30:00,87.89,88.04,87.67,87.75,28747.705
2026-05-07 04:00:00,87.75,88.21,87.69,88.11,28410.397
2026-05-07 04:30:00,88.11,88.38,87.96,88.36,40235.047
2026-05-07 05:00:00,88.37,88.91,88.34,88.6,58590.744
2026-05-07 05:30:00,88.6,88.68,88.32,88.65,63313.717
2026-05-07 06:00:00,88.66,88.69,88.22,88.49,62031.344
2026-05-07 06:30:00,88.5,89.28,88.49,89.27,68669.348
2026-05-07 07:00:00,89.28,89.64,89.14,89.62,84678.8
