datetime,open,high,low,close,volume
2024-07-05 08:00:00,551.95,552.16,551.7,551.75,20990.0
2024-07-05 09:00:00,551.68,551.87,551.63,551.83,1927.0
2024-07-05 10:00:00,551.74,551.8,551.67,551.71,9525.0
2024-07-05 11:00:00,551.62,551.79,551.43,551.47,86709.0
2024-07-05 12:00:00,551.66,552.92,551.0,551.66,657881.0
2024-07-05 13:00:00,551.66,552.53,551.38,552.53,3303996.0
2024-07-05 14:00:00,552.54,552.84,551.12,552.355,4357913.0
2024-07-05 15:00:00,552.35,553.72,552.1,553.535,3950821.0
2024-07-05 16:00:00,553.53,553.76,553.1,553.505,3338467.0
2024-07-05 17:00:00,553.505,554.52,553.29,554.27,2977356.0
2024-07-05 18:00:00,554.28,554.43,553.86,554.37,4764296.0
2024-07-05 19:00:00,554.36,555.05,554.24,554.7,10529546.0
2024-07-05 20:00:00,554.71,554.78,552.2221,554.09,5221111.0
2024-07-05 21:00:00,554.04,554.1,553.93,553.97,56125.0
2024-07-05 22:00:00,554.1123,554.1123,553.95,554.0066,6676.0
2024-07-05 23:00:00,554.09,554.17,554.02,554.12,96968.0
2024-07-08 08:00:00,553.85,554.65,553.85,554.53,12014.0
2024-07-08 09:00:00,554.46,554.65,554.43,554.5,9294.0
2024-07-08 10:00:00,554.51,554.6,554.44,554.49,39518.0
2024-07-08 11:00:00,554.44,554.92,554.42,554.89,46245.0
2024-07-08 12:00:00,554.5,555.22,553.75,555.2,180203.0
2024-07-08 13:00:00,555.18,556.2501,555.15,556.02,3233166.0
2024-07-08 14:00:00,556.01,556.04,554.91,555.2,3301655.0
2024-07-08 15:00:00,555.21,555.54,554.732,555.09,2624357.0
2024-07-08 16:00:00,555.08,555.1,554.295,554.8001,2570045.0
2024-07-08 17:00:00,554.81,555.37,554.47,555.23,1912256.0
2024-07-08 18:00:00,555.22,555.29,554.19,554.95,2208558.0
2024-07-08 19:00:00,554.95,555.6742,554.5101,555.34,9161463.0
2024-07-08 20:00:00,555.38,555.58,555.15,555.43,7810608.0
2024-07-08 21:00:00,555.42,555.49,555.38,555.4,28129.0
2024-07-08 22:00:00,555.38,555.68,555.28,555.6,35985.0
2024-07-08 23:00:00,555.65,556.45,555.65,556.4,86034.0
2024-07-09 08:00:00,556.34,556.59,556.29,556.49,10220.0
2024-07-09 09:00:00,556.55,556.63,556.52,556.57,5668.0
2024-07-09 10:00:00,556.5,556.57,556.45,556.49,2552.0
2024-07-09 11:00:00,556.46,556.57,556.21,556.25,76122.0
2024-07-09 12:00:00,556.5204,556.65,555.95,556.21,122744.0
