[2026-07-06 13:15:34] START portfolio OOS crypto [30m] pairs=1
[2026-07-06 13:17:53] 2026-07-06T11:00:00 BTC-USD/donchian_bidirectional equity=20000.00 trades=0 -> hold
[2026-07-06 13:23:07] 2026-07-06T11:00:00 BTC-USD/donchian_bidirectional equity=20000.00 trades=0 -> skip
[2026-07-06 13:28:20] 2026-07-06T11:00:00 BTC-USD/donchian_bidirectional equity=20000.00 trades=0 -> skip
[2026-07-06 13:33:36] 2026-07-06T11:30:00 BTC-USD/donchian_bidirectional equity=20000.00 trades=0 -> hold
[2026-07-06 13:38:53] 2026-07-06T11:30:00 BTC-USD/donchian_bidirectional equity=20000.00 trades=0 -> skip
[2026-07-06 13:44:08] 2026-07-06T11:30:00 BTC-USD/donchian_bidirectional equity=20000.00 trades=0 -> skip
[2026-07-06 13:49:22] 2026-07-06T11:30:00 BTC-USD/donchian_bidirectional equity=20000.00 trades=0 -> skip
[2026-07-06 13:54:40] 2026-07-06T11:30:00 BTC-USD/donchian_bidirectional equity=20000.00 trades=0 -> skip
[2026-07-06 13:59:51] 2026-07-06T11:30:00 BTC-USD/donchian_bidirectional equity=20000.00 trades=0 -> skip
[2026-07-06 14:05:05] 2026-07-06T12:00:00 BTC-USD/donchian_bidirectional equity=20000.00 trades=0 -> hold
[2026-07-06 14:10:16] 2026-07-06T12:00:00 BTC-USD/donchian_bidirectional equity=20000.00 trades=0 -> skip
